,id,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,host_duration,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_time_nan,property_type_Apartment,property_type_House,property_type_Others,property_type_Townhouse or Condo,property_type_nan,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_type_nan,bed_type_Not real bed,bed_type_Real Bed,bed_type_nan,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_nan
0,241032,956883,2011/8/11,within a few hours,0.96,0,3,3,1,Queen Anne,47.63628904,-122.3710252,1,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",85,0,2,5,1,365,4 weeks ago,14,41,71,346,207,2011/11/1,2016/1/2,95,10,10,10,10,9,10,0,moderate,0,0,2,4.07,1607 days,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,953595,5177328,2013/2/21,within an hour,0.98,1,6,6,1,Queen Anne,47.63912312,-122.3656665,1,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150,40,1,0,2,90,today,13,13,16,291,43,2013/8/19,2015/12/29,96,10,10,10,10,10,10,0,strict,1,1,6,1.48,1047 days,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2,3308979,16708587,2014/6/12,within a few hours,0.67,0,2,2,1,Queen Anne,47.62972413,-122.3694832,1,House,Entire home/apt,11,4.5,5,7,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",975,300,10,25,4,30,5 weeks ago,1,6,17,220,20,2014/7/30,2015/9/3,97,10,10,10,10,10,10,0,strict,0,0,2,1.15,571 days,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3,7421966,9851441,2013/11/6,,0.98,0,1,1,1,Queen Anne,47.6384732,-122.3692791,1,Apartment,Entire home/apt,3,1,0,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",100,0,1,0,1,1125,6 months ago,0,0,0,143,0,,,94.84397163,9.815602837,9.595744681,9.822695035,9.907801418,9.737588652,9.531914894,0,flexible,0,0,1,,789 days,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
4,278830,1452570,2011/11/29,within an hour,1,0,2,2,1,Queen Anne,47.6329184,-122.3724706,1,House,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450,125,6,15,1,1125,7 weeks ago,30,60,90,365,38,2012/7/10,2015/10/24,92,9,9,10,10,9,9,0,strict,0,0,1,0.89,1497 days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5,5956968,326758,2010/12/25,,0.98,0,1,1,1,Queen Anne,47.63052548,-122.3661741,1,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",120,40,1,30,1,6,2 weeks ago,0,0,27,302,17,2015/6/11,2015/9/28,95,10,10,10,10,10,10,0,strict,0,0,1,2.45,1836 days,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
6,1909058,2497928,2012/5/30,within an hour,1,1,1,1,1,Queen Anne,47.63660545,-122.3685191,1,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",80,0,1,10,3,14,5 weeks ago,20,49,71,346,58,2014/1/27,2015/12/7,99,10,10,10,10,10,10,0,moderate,0,0,1,2.46,1314 days,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
7,856550,4016632,2012/10/30,within an hour,1,1,5,5,1,Queen Anne,47.64016054,-122.375856,1,Others,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",60,25,1,0,2,7,yesterday,22,42,42,100,173,2013/1/3,2016/1/1,97,10,10,10,10,9,10,0,strict,1,1,5,4.73,1161 days,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
8,4948745,2166277,2012/4/18,,0.98,0,1,1,1,Queen Anne,47.6324103,-122.3572161,1,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90,0,1,0,3,1125,5 months ago,6,36,66,341,8,2015/6/22,2015/8/17,97,10,9,10,9,10,10,0,strict,0,0,1,1.22,1356 days,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
9,2493658,5177328,2013/2/21,within an hour,0.98,1,6,6,1,Queen Anne,47.63749172,-122.3668886,1,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150,40,1,0,2,365,today,6,19,49,324,32,2014/4/27,2015/12/20,97,10,10,10,10,10,9,0,strict,1,1,6,1.55,1047 days,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
